WKT,name,description
"POLYGON ((-71.0932422 42.3590174, -71.0928215 42.3583521, -71.0926172 42.3584189, -71.0930249 42.3590957, -71.0932422 42.3590174))",5,
"POLYGON ((-71.0935704 42.3595512, -71.0932422 42.3590174, -71.0929079 42.3591311, -71.0929347 42.3591766, -71.0927376 42.3592411, -71.0928342 42.3594016, -71.0930353 42.3593342, -71.0932378 42.3596682, -71.0935704 42.3595512))",7,
"POLYGON ((-71.0923127 42.3585208, -71.0928215 42.3583521, -71.0924325 42.357703, -71.0916641 42.3579557, -71.0917539 42.3580895, -71.0922823 42.3579071, -71.092505 42.3582728, -71.0922314 42.3583591, -71.0923127 42.3585208))",1,
"POLYGON ((-71.0928342 42.3594016, -71.0922314 42.3583591, -71.0919685 42.3584423, -71.0925112 42.3593037, -71.0921571 42.3594266, -71.0922188 42.3595396, -71.092259 42.3595297, -71.0922912 42.3595832, -71.0928342 42.3594016))",3,
"POLYGON ((-71.0929537 42.359599, -71.0928342 42.3594016, -71.0926131 42.3594761, -71.0927257 42.3596704, -71.0929537 42.359599))",11,
"POLYGON ((-71.0923882 42.3598751, -71.0921938 42.359552, -71.0922188 42.3595396, -71.0921294 42.3593786, -71.09166 42.3595362, -71.0919564 42.3600188, -71.0923882 42.3598751))",10,
"POLYGON ((-71.0916813 42.3595821, -71.0913111 42.359707, -71.0907961 42.358829, -71.0905574 42.3589142, -71.0911824 42.3599508, -71.0917242 42.3597645, -71.0917 42.3597169, -71.0917564 42.3596951, -71.0916813 42.3595821))",4,
"POLYGON ((-71.0906593 42.3590827, -71.0905574 42.3589142, -71.0902543 42.3590212, -71.0900317 42.3586605, -71.0905628 42.3584861, -71.0904743 42.3583533, -71.089734 42.358605, -71.0901175 42.3592531, -71.0906593 42.3590827))",2,
"POLYGON ((-71.0909561 42.3601659, -71.0908891 42.360045, -71.0911824 42.3599508, -71.0910916 42.3597993, -71.0905632 42.3599668, -71.0907308 42.3602432, -71.0909561 42.3601659))",8,
