WKT,name,description
"LINESTRING (-71.0926422 42.3582736, -71.0923785 42.3578077, -71.0919165 42.3579359)",1,
"LINESTRING (-71.0932001 42.359221, -71.0926583 42.3593478)",3-7,
"LINESTRING (-71.0932001 42.359221, -71.0929104 42.358662)",5-7,
"LINESTRING (-71.0929104 42.358662, -71.0926422 42.3582736)",1-5,
"LINESTRING (-71.0926583 42.3593478, -71.0919663 42.3595341)",3-10,
"LINESTRING (-71.0919663 42.3595341, -71.0912424 42.3598105)",4-10,
"LINESTRING (-71.0912424 42.3598105, -71.0907545 42.3589555)",4,
"LINESTRING (-71.0912424 42.3598105, -71.0907167 42.3600166)",4-8,
"LINESTRING (-71.0907167 42.3600166, -71.0904374 42.3595857)",6-8,
"LINESTRING (-71.0904374 42.3595857, -71.0902071 42.3591128)",2-6,
"LINESTRING (-71.0907545 42.3589555, -71.0902071 42.3591128)",2-4,
"LINESTRING (-71.0904377 42.3584429, -71.0898959 42.3586213, -71.0902071 42.3591128)",2,
