WKT,name,description
"POINT (-71.0919862 42.359581)",10.1,
"POINT (-71.0910367 42.3598829)",8.1,
"POINT (-71.0926801 42.3593229)",3.1,
"POINT (-71.0932362 42.3593162)",7.1,
